file_flat0,raft_sensor,file_flat1
MC_C_20211207_000812_R22_S10.fits,R22_S10,MC_C_20211207_000813_R22_S10.fits
MC_C_20211207_000812_R20_S20.fits,R20_S20,MC_C_20211207_000813_R20_S20.fits
MC_C_20211207_000812_R10_S22.fits,R10_S22,MC_C_20211207_000813_R10_S22.fits
MC_C_20211207_000812_R20_S21.fits,R20_S21,MC_C_20211207_000813_R20_S21.fits
MC_C_20211207_000812_R21_S01.fits,R21_S01,MC_C_20211207_000813_R21_S01.fits
MC_C_20211207_000812_R01_S22.fits,R01_S22,MC_C_20211207_000813_R01_S22.fits
MC_C_20211207_000812_R30_S21.fits,R30_S21,MC_C_20211207_000813_R30_S21.fits
MC_C_20211207_000812_R10_S02.fits,R10_S02,MC_C_20211207_000813_R10_S02.fits
MC_C_20211207_000812_R21_S00.fits,R21_S00,MC_C_20211207_000813_R21_S00.fits
MC_C_20211207_000812_R34_S21.fits,R34_S21,MC_C_20211207_000813_R34_S21.fits
MC_C_20211207_000812_R23_S22.fits,R23_S22,MC_C_20211207_000813_R23_S22.fits
MC_C_20211207_000812_R30_S11.fits,R30_S11,MC_C_20211207_000813_R30_S11.fits
MC_C_20211207_000812_R22_S00.fits,R22_S00,MC_C_20211207_000813_R22_S00.fits
MC_C_20211207_000812_R11_S01.fits,R11_S01,MC_C_20211207_000813_R11_S01.fits
MC_C_20211207_000812_R30_S20.fits,R30_S20,MC_C_20211207_000813_R30_S20.fits
MC_C_20211207_000812_R10_S20.fits,R10_S20,MC_C_20211207_000813_R10_S20.fits
MC_C_20211207_000812_R03_S12.fits,R03_S12,MC_C_20211207_000813_R03_S12.fits
MC_C_20211207_000812_R43_S01.fits,R43_S01,MC_C_20211207_000813_R43_S01.fits
MC_C_20211207_000812_R30_S00.fits,R30_S00,MC_C_20211207_000813_R30_S00.fits
MC_C_20211207_000812_R23_S20.fits,R23_S20,MC_C_20211207_000813_R23_S20.fits
MC_C_20211207_000812_R44_SW0.fits,R44_SW0,MC_C_20211207_000813_R44_SW0.fits
MC_C_20211207_000812_R22_S20.fits,R22_S20,MC_C_20211207_000813_R22_S20.fits
MC_C_20211207_000812_R31_S10.fits,R31_S10,MC_C_20211207_000813_R31_S10.fits
MC_C_20211207_000812_R42_S01.fits,R42_S01,MC_C_20211207_000813_R42_S01.fits
MC_C_20211207_000812_R01_S01.fits,R01_S01,MC_C_20211207_000813_R01_S01.fits
MC_C_20211207_000812_R33_S20.fits,R33_S20,MC_C_20211207_000813_R33_S20.fits
MC_C_20211207_000812_R01_S21.fits,R01_S21,MC_C_20211207_000813_R01_S21.fits
MC_C_20211207_000812_R13_S20.fits,R13_S20,MC_C_20211207_000813_R13_S20.fits
MC_C_20211207_000812_R32_S22.fits,R32_S22,MC_C_20211207_000813_R32_S22.fits
MC_C_20211207_000812_R33_S02.fits,R33_S02,MC_C_20211207_000813_R33_S02.fits
MC_C_20211207_000812_R03_S21.fits,R03_S21,MC_C_20211207_000813_R03_S21.fits
MC_C_20211207_000812_R01_S12.fits,R01_S12,MC_C_20211207_000813_R01_S12.fits
MC_C_20211207_000812_R10_S00.fits,R10_S00,MC_C_20211207_000813_R10_S00.fits
MC_C_20211207_000812_R14_S00.fits,R14_S00,MC_C_20211207_000813_R14_S00.fits
MC_C_20211207_000812_R10_S21.fits,R10_S21,MC_C_20211207_000813_R10_S21.fits
MC_C_20211207_000812_R21_S02.fits,R21_S02,MC_C_20211207_000813_R21_S02.fits
MC_C_20211207_000812_R14_S20.fits,R14_S20,MC_C_20211207_000813_R14_S20.fits
MC_C_20211207_000812_R41_S20.fits,R41_S20,MC_C_20211207_000813_R41_S20.fits
MC_C_20211207_000812_R34_S02.fits,R34_S02,MC_C_20211207_000813_R34_S02.fits
MC_C_20211207_000812_R02_S00.fits,R02_S00,MC_C_20211207_000813_R02_S00.fits
