file_flat0,raft_sensor,file_flat1
MC_C_20211206_000747_R11_S22.fits,R11_S22,MC_C_20211206_000748_R11_S22.fits
MC_C_20211206_000747_R34_S12.fits,R34_S12,MC_C_20211206_000748_R34_S12.fits
MC_C_20211206_000747_R13_S00.fits,R13_S00,MC_C_20211206_000748_R13_S00.fits
MC_C_20211206_000747_R10_S00.fits,R10_S00,MC_C_20211206_000748_R10_S00.fits
MC_C_20211206_000747_R33_S00.fits,R33_S00,MC_C_20211206_000748_R33_S00.fits
MC_C_20211206_000747_R24_S01.fits,R24_S01,MC_C_20211206_000748_R24_S01.fits
MC_C_20211206_000747_R12_S10.fits,R12_S10,MC_C_20211206_000748_R12_S10.fits
MC_C_20211206_000747_R20_S12.fits,R20_S12,MC_C_20211206_000748_R20_S12.fits
MC_C_20211206_000747_R42_S20.fits,R42_S20,MC_C_20211206_000748_R42_S20.fits
MC_C_20211206_000747_R10_S01.fits,R10_S01,MC_C_20211206_000748_R10_S01.fits
MC_C_20211206_000747_R02_S10.fits,R02_S10,MC_C_20211206_000748_R02_S10.fits
MC_C_20211206_000747_R31_S00.fits,R31_S00,MC_C_20211206_000748_R31_S00.fits
MC_C_20211206_000747_R33_S10.fits,R33_S10,MC_C_20211206_000748_R33_S10.fits
MC_C_20211206_000747_R41_S01.fits,R41_S01,MC_C_20211206_000748_R41_S01.fits
MC_C_20211206_000747_R34_S00.fits,R34_S00,MC_C_20211206_000748_R34_S00.fits
MC_C_20211206_000747_R14_S00.fits,R14_S00,MC_C_20211206_000748_R14_S00.fits
MC_C_20211206_000747_R43_S11.fits,R43_S11,MC_C_20211206_000748_R43_S11.fits
MC_C_20211206_000747_R43_S20.fits,R43_S20,MC_C_20211206_000748_R43_S20.fits
MC_C_20211206_000747_R23_S12.fits,R23_S12,MC_C_20211206_000748_R23_S12.fits
MC_C_20211206_000747_R32_S12.fits,R32_S12,MC_C_20211206_000748_R32_S12.fits
MC_C_20211206_000747_R14_S11.fits,R14_S11,MC_C_20211206_000748_R14_S11.fits
MC_C_20211206_000747_R21_S20.fits,R21_S20,MC_C_20211206_000748_R21_S20.fits
MC_C_20211206_000747_R02_S02.fits,R02_S02,MC_C_20211206_000748_R02_S02.fits
MC_C_20211206_000747_R44_SG0.fits,R44_SG0,MC_C_20211206_000748_R44_SG0.fits
MC_C_20211206_000747_R42_S02.fits,R42_S02,MC_C_20211206_000748_R42_S02.fits
MC_C_20211206_000747_R23_S11.fits,R23_S11,MC_C_20211206_000748_R23_S11.fits
MC_C_20211206_000747_R21_S01.fits,R21_S01,MC_C_20211206_000748_R21_S01.fits
MC_C_20211206_000747_R00_SG1.fits,R00_SG1,MC_C_20211206_000748_R00_SG1.fits
MC_C_20211206_000747_R02_S11.fits,R02_S11,MC_C_20211206_000748_R02_S11.fits
MC_C_20211206_000747_R13_S02.fits,R13_S02,MC_C_20211206_000748_R13_S02.fits
MC_C_20211206_000747_R01_S20.fits,R01_S20,MC_C_20211206_000748_R01_S20.fits
MC_C_20211206_000747_R11_S20.fits,R11_S20,MC_C_20211206_000748_R11_S20.fits
MC_C_20211206_000747_R34_S21.fits,R34_S21,MC_C_20211206_000748_R34_S21.fits
MC_C_20211206_000747_R23_S10.fits,R23_S10,MC_C_20211206_000748_R23_S10.fits
MC_C_20211206_000747_R44_SG1.fits,R44_SG1,MC_C_20211206_000748_R44_SG1.fits
MC_C_20211206_000747_R24_S02.fits,R24_S02,MC_C_20211206_000748_R24_S02.fits
MC_C_20211206_000747_R03_S10.fits,R03_S10,MC_C_20211206_000748_R03_S10.fits
MC_C_20211206_000747_R43_S00.fits,R43_S00,MC_C_20211206_000748_R43_S00.fits
MC_C_20211206_000747_R21_S22.fits,R21_S22,MC_C_20211206_000748_R21_S22.fits
MC_C_20211206_000747_R11_S21.fits,R11_S21,MC_C_20211206_000748_R11_S21.fits
MC_C_20211206_000747_R01_S22.fits,R01_S22,MC_C_20211206_000748_R01_S22.fits
MC_C_20211206_000747_R13_S20.fits,R13_S20,MC_C_20211206_000748_R13_S20.fits
MC_C_20211206_000747_R22_S20.fits,R22_S20,MC_C_20211206_000748_R22_S20.fits
MC_C_20211206_000747_R10_S21.fits,R10_S21,MC_C_20211206_000748_R10_S21.fits
MC_C_20211206_000747_R20_S22.fits,R20_S22,MC_C_20211206_000748_R20_S22.fits
